Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,NG years,PO years,TO years,years left,salary left
25,2,29,2,19.8,1.9,5.3,0.359,1.4,4.3,0.32299999999999995,0.5,1.0,0.517,0.49,0.4,0.4,0.9229999999999999,0.2,1.4,1.6,0.7,0.6,0.2,0.5,1.8,5.6,0,0,0,1,5455236.0
25,5,39,39,33.8,6.4,10.7,0.6,0.0,0.0,0.0,6.4,10.7,0.602,0.6,2.5,4.6,0.539,4.7,5.5,10.2,1.7,1.4,0.8,1.5,2.5,15.4,0,0,0,3,77528089.0
21,5,39,5,21.3,3.0,5.4,0.557,0.0,0.2,0.16699999999999998,3.0,5.3,0.568,0.5589999999999999,1.9,2.6,0.718,2.2,4.6,6.8,2.1,0.7,0.8,1.3,2.6,8.0,0,0,1,3,11525412.0
33,5,42,42,32.2,7.9,15.6,0.504,0.0,0.3,0.14300000000000002,7.8,15.3,0.512,0.505,4.1,4.9,0.83,2.8,5.8,8.6,2.4,0.5,1.1,1.8,2.2,19.8,1,0,0,3,72347015.0
23,2,17,1,9.7,1.2,3.6,0.32299999999999995,0.6,2.4,0.268,0.5,1.2,0.429,0.41100000000000003,1.1,1.5,0.72,0.1,0.2,0.3,0.4,0.1,0.0,0.6,1.1,4.1,0,0,2,4,11103735.0
20,5,41,41,26.6,4.4,7.5,0.584,0.1,0.6,0.16,4.3,6.9,0.622,0.591,2.7,3.7,0.737,2.6,5.6,8.2,1.4,0.6,1.5,1.3,2.4,11.6,0,0,1,3,8320862.0
28,4,42,42,30.1,3.2,7.5,0.425,1.4,3.9,0.35200000000000004,1.8,3.6,0.503,0.516,1.7,2.0,0.8370000000000001,1.5,6.6,8.1,1.0,0.9,0.4,0.8,2.1,9.4,0,0,0,1,6957105.0
25,2,22,0,8.6,1.2,3.0,0.38799999999999996,0.3,1.4,0.2,0.9,1.7,0.541,0.433,0.5,0.6,0.769,0.4,1.1,1.5,0.5,0.4,0.3,0.5,1.0,3.1,0,0,0,1,2516048.0
25,3,40,37,30.2,3.5,6.4,0.541,0.2,0.9,0.265,3.3,5.6,0.583,0.5579999999999999,0.9,1.5,0.5760000000000001,1.1,4.9,6.0,3.1,1.3,0.9,1.3,2.6,8.0,0,0,0,4,37156300.0
30,4,15,8,18.5,1.3,4.0,0.317,0.5,2.3,0.20600000000000002,0.8,1.7,0.462,0.375,0.7,0.9,0.7859999999999999,0.9,2.1,3.0,1.1,0.2,0.1,0.8,1.5,3.7,1,0,0,2,41686181.0
20,5,3,0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.7,1.0,0.3,0.0,0.3,0.3,0.0,0.0,1,0,0,2,2996762.0
24,4,38,38,33.6,9.9,17.1,0.581,0.4,2.4,0.16699999999999998,9.6,14.8,0.647,0.5920000000000001,6.3,9.0,0.6990000000000001,2.4,10.4,12.8,6.0,1.3,1.5,4.1,3.4,26.6,0,0,0,3,77528089.0
34,4,10,2,29.4,4.9,12.1,0.405,2.1,6.4,0.32799999999999996,2.8,5.7,0.491,0.49200000000000005,1.5,2.2,0.682,0.9,4.5,5.4,0.5,0.4,0.7,0.8,3.2,13.4,0,0,0,1,1512601.0
24,1,40,23,27.0,2.2,4.9,0.43700000000000006,1.3,3.3,0.391,0.9,1.6,0.531,0.569,0.6,0.8,0.833,0.3,2.3,2.5,3.6,1.1,0.0,0.9,2.2,6.2,1,0,0,1,1349383.0
33,3,38,38,35.1,3.7,10.3,0.363,2.0,6.1,0.326,1.8,4.2,0.41600000000000004,0.45899999999999996,1.6,1.8,0.855,0.6,5.0,5.6,3.6,1.6,0.2,1.7,1.8,11.0,0,0,0,1,15000000.0
31,1,40,40,27.8,3.7,7.9,0.461,1.7,3.9,0.423,2.0,4.0,0.49700000000000005,0.565,2.6,2.9,0.895,0.5,1.6,2.2,4.9,0.6,0.0,1.5,1.3,11.5,0,0,0,2,14500000.0
23,2,19,0,12.2,2.1,3.9,0.527,0.5,1.1,0.5,1.5,2.8,0.537,0.595,0.5,0.6,0.833,0.1,1.6,1.7,0.7,0.2,0.0,0.6,1.3,5.2,1,0,0,2,2996762.0
25,2,15,0,10.1,0.3,1.3,0.2,0.1,0.9,0.077,0.2,0.5,0.429,0.225,0.3,0.4,0.833,0.1,0.7,0.7,1.0,0.4,0.1,0.3,1.2,0.9,0,0,0,1,4544400.0
21,1,42,40,30.0,3.8,9.2,0.40700000000000003,1.5,4.6,0.33299999999999996,2.2,4.6,0.48200000000000004,0.491,0.5,1.1,0.413,1.0,4.1,5.2,5.1,1.5,0.4,2.2,2.4,9.5,0,0,2,3,27185062.0
20,5,39,1,16.6,2.5,5.4,0.467,0.5,1.6,0.281,2.1,3.8,0.547,0.509,0.7,1.4,0.547,1.4,3.6,5.0,0.9,0.3,1.4,0.9,2.3,6.3,0,0,2,4,24100423.0
26,3,37,37,32.0,6.0,14.4,0.42,2.6,6.3,0.408,3.5,8.1,0.43,0.509,3.4,4.1,0.833,0.8,3.4,4.2,1.1,0.8,0.3,1.4,1.7,18.0,0,1,0,2,49209770.0
28,2,2,2,27.0,6.0,10.5,0.5710000000000001,2.5,4.5,0.556,3.5,6.0,0.583,0.69,2.0,2.0,1.0,0.0,5.0,5.0,3.0,0.5,1.0,1.5,2.5,16.5,0,0,0,4,53000000.0
23,3,2,0,9.0,1.0,4.0,0.25,0.0,2.0,0.0,1.0,2.0,0.5,0.25,0.0,0.0,0.0,0.0,1.5,1.5,0.0,0.0,0.5,0.0,0.5,2.0,1,0,0,3,3919177.0
30,3,40,40,30.9,3.3,7.3,0.455,1.3,3.4,0.39,2.0,3.9,0.513,0.547,0.9,1.1,0.86,0.9,4.3,5.2,3.4,0.9,0.4,1.6,1.8,8.9,0,1,0,3,76695651.0
30,1,6,0,9.5,0.8,3.5,0.23800000000000002,0.5,1.8,0.273,0.3,1.7,0.2,0.31,0.2,0.5,0.33299999999999996,0.2,0.7,0.8,1.7,0.3,0.0,0.8,0.8,2.3,0,0,0,1,8575916.0
