Name,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,NG years,PO years,TO years
"Abrines, Alex",5455236,,,,,,0,0,0
"Adams, Steven",24157304,25842697,27528088,,,,0,0,0
"Adebayo, Bam",2955840,3454080,5115492,,,,0,0,1
"Aldridge, LaMarcus",22347015,26000000,24000000,,,,1,0,0
"Allen, Grayson",2074320,2429400,2545320,4054695,,,0,0,2
"Allen, Jarrett",2034120,2376840,3909902,,,,0,0,1
"Aminu, Al-Farouq",6957105,,,,,,0,0,0
"Anderson, Justin",2516048,,,,,,0,0,0
"Anderson, Kyle",8641000,9073050,9505100,9937150,,,0,0,0
"Anderson, Ryan",20421546,21264635,,,,,1,0,0
"Anigbogu, Ike",1378242,1618520,,,,,1,0,0
"Antetokounmpo, Giannis",24157304,25842697,27528088,,,,0,0,0
"Anthony, Carmelo",1512601,,,,,,0,0,0
"Anunoby, Ogugua",1952760,2281800,3872215,,,,0,0,2
"Arcidiacono, Ryan",1349383,,,,,,1,0,0
"Ariza, Trevor",15000000,,,,,,0,0,0
"Asik, Omer",11286516,11977527,,,,,0,1,0
"Augustin, D.J.",7250000,7250000,,,,,0,0,0
"Ayton, DeAndre",8165160,9562800,10018200,12632950,,,0,0,2
"Bacon, Dwayne",1378242,1618520,,,,,1,0,0
"Bagley III, Marvin",7305600,8556120,8963640,11312114,,,0,0,2
"Baker, Ron",4544400,,,,,,0,0,0
"Baldwin IV, Wade",1544951,,,,,,0,0,0
"Ball, Lonzo",7461960,8719320,11003782,,,,0,0,2
"Bamba, Mohamed",4865040,5697600,5969040,7568743,,,0,0,2
"Barea, Jose Juan",3710850,,,,,,0,0,0
"Barnes, Harrison",24107258,25102512,,,,,0,1,0
"Barton, Will",11830358,12776786,13723214,14669642,,,0,0,0
"Bates-Diop, Keita",838464,1416852,1663861,,,,1,0,0
"Batum, Nicolas",24000000,25565217,27130434,,,,0,1,0
"Bayless, Jerryd",8575916,,,,,,0,0,0
"Baynes, Aron",5193600,5453280,,,,,0,1,0
"Bazemore, Kent",18089887,19269662,,,,,0,1,0
"Beasley, Malik",1773840,2731714,,,,,0,0,1
"Beasley, Michael",3500000,,,,,,0,0,0
"Belinelli, Marco",6153846,5846154,,,,,0,0,0
"Bell, Jordan",1378242,,,,,,0,0,0
"Bembry, DeAndre'",1634640,2603982,,,,,0,0,0
"Bender, Dragan",4661280,5896519,,,,,0,0,1
"Bertans, Davis",7000000,7000000,,,,,0,0,0
"Beverley, Patrick",5027028,,,,,,1,0,0
"Birch, Khem",1378242,,,,,,0,0,0
"Bird, Jabari",1349383,1588231,,,,,1,0,0
"Biyombo, Bismack",17000000,17000000,,,,,0,1,0
"Bjelica, Nemanja",6500000,6825000,7150000,,,,1,0,0
"Blakeney, Antonio",1349383,1588231,,,,,0,0,0
"Bledsoe, Eric",15000000,,,,,,0,0,0
"Bogdanovic, Bogdan",9000000,8529386,,,,,0,0,0
"Bogdanovic, Bojan",10500000,,,,,,0,0,0
"Bolden, Jonah",1690000,1698450,1766550,1845000,,,2,0,0
"Bonga, Isaac",1000000,1416852,1663861,,,,1,0,0
"Booker, Devin",3314365,27250000,29430000,31610000,33790000,35970000,0,0,0
"Bradley, Avery",12000000,12960000,,,,,1,0,0
"Bradley, Tony",1679520,1962360,3542060,,,,0,0,1
"Bridges, Mikal",3552960,4161000,4359000,5557725,,,0,0,2
"Bridges, Miles",3206640,3755400,3934320,5421493,,,0,0,2
"Briscoe, Isaiah",838464,1416852,1663861,,,,3,0,0
"Broekhoff, Ryan",838464,1416852,,,,,1,0,0
"Brogdon, Malcolm",1544951,,,,,,0,0,0
"Brooks, Dillon",1378242,1618520,,,,,1,0,0
"Brooks, MarShon",1656092,,,,,,0,0,0
"Brown Jr., Bruce",838464,1416852,1663861,,,,1,0,0
"Brown, Jaylen",5169960,6534829,,,,,0,0,1
"Brown, Lorenzo",1512601,,,,,,1,0,0
"Brown, Sterling",1378242,1618520,,,,,1,0,0
"Brunson, Jalen",1230000,1416852,1663861,1802057,,,1,0,0
"Bullock, Reggie",2500000,,,,,,0,0,0
"Burke, Trey",1795015,,,,,,1,0,0
"Burks, Alec",11536515,,,,,,0,0,0
"Butler, Jimmy",20445779,19841627,,,,,0,1,0
"Calderon, Jose",1512601,,,,,,0,0,0
"Caldwell-Pope, Kentavious",12000000,,13800000,,,,0,0,0
"Canaan, Isaiah",1512601,,,,,,1,0,0
"Capela, Clint",15293104,16396552,17500000,18603448,19706896,,0,0,0
"Carroll, DeMarre",15400000,,,,,,0,0,0
"Carter Jr., Wendell",4441200,5201400,5448840,6920027,,,0,0,2
"Carter, Jevon",838464,1416852,,,,,0,0,0
"Carter, Vince",1512601,,,,,,0,0,0
"Carter-Williams, Michael",1512601,,,,,,1,0,0
"Casspi, Omri",1512601,,,,,,0,0,0
"Cauley-Stein, Willie",4696875,,,,,,0,0,0
"Chandler, Tyson",13585000,,,,,,0,0,0
"Chandler, Wilson",12800562,,,,,,0,0,0
"Chriss, Marquese",3206160,4078236,,,,,0,0,1
"Clark, Ian",1512601,,,,,,0,0,0
"Clarkson, Jordan",12500000,13437500,,,,,0,0,0
"Collins, John",2299080,2686560,4137302,,,,0,0,1
"Collins, Zach",3628920,4240200,5406255,,,,0,0,1
"Collison, Darren",10000000,,,,,,0,0,0
"Conley Jr., Mike",30521116,32511624,34502132,,,,0,1,0
"Connaughton, Pat",1641000,1723050,,,,,1,0,0
"Cook, Quinn",1544951,,,,,,0,0,0
"Cousins, DeMarcus",5337000,,,,,,0,0,0
"Covington, Robert",10464092,11301219,12138345,12975471,,,0,0,0
"Crabbe, Allen",18500000,18500000,,,,,0,1,0
"Craig, Torrey",2000000,2100000,,,,,0,0,0
"Crowder, Jae",7305825,7815533,,,,,0,0,0
"Cunningham, Dante",2487000,,,,,,0,0,0
"Curry, Seth",2795000,,,,,,0,0,0
"Curry, Stephen",37457154,40231758,43006362,45780966,,,0,0,0
"Daniels, Troy",3258539,,,,,,0,0,0
"Davis, Anthony",25434262,27093018,28751774,,,,0,1,0
"Davis, Ed",4449000,,,,,,0,0,0
"Dedmon, DeWayne",7200000,,,,,,0,0,0
"Dekker, Sam",2760095,,,,,,0,0,0
"Dellavedova, Matthew",9607500,9607500,,,,,0,0,0
"Deng, Luol",1512601,,,,,,0,0,0
"DeRozan, DeMar",27739975,27739975,27739975,,,,0,1,0
"Diallo, Cheick",1544951,,,,,,0,0,0
"Diallo, Hamidou",838464,1416852,1663861,,,,0,0,1
"Dieng, Gorgui",15170787,16229213,17287640,,,,0,0,0
"Dinwiddie, Spencer",1656092,,,,,,0,0,0
"DiVincenzo, Donte",2481000,2905800,3044160,4675830,,,0,0,2
"Doncic, Luka",6560640,7683360,8049360,10174391,,,0,0,2
"Dorsey, Tyler",1378242,,,,,,0,0,0
"Dotson, Damyean",1378242,1618520,,,,,1,0,0
"Dragic, Goran",18109175,19217900,,,,,0,1,0
"Drummond, Andre",25434263,27093019,28751775,,,,0,1,0
"Dudley, Jared",9530000,,,,,,0,0,0
"Dunn, Kris",4221000,5348007,,,,,0,0,1
"Durant, Kevin",30000000,31500000,,,,,0,1,0
"Ellenson, Henry",1857480,2856804,,,,,0,0,1
"Ellington, Wayne",6270000,,,,,,0,0,0
"Embiid, Joel",25467250,27504630,29542010,31579390,33616770,,0,0,0
"Ennis, James",1621415,1845301,,,,,0,1,0
"Evans, Jacob",1644240,1925880,2017320,3641263,,,0,0,2
"Evans, Tyreke",12400000,,,,,,0,0,0
"Exum, Dante",9600000,9600000,9600000,,,,0,0,0
"Faried, Kenneth",13764045,,,,,,0,0,0
"Favors, Derrick",16900000,16900000,,,,,1,0,0
"Felicio, Cristiano",8470980,8156500,7529020,,,,0,0,0
"Felton, Raymond",1512601,,,,,,0,0,0
"Ferguson, Terrance",2118840,2475840,3944013,,,,0,0,2
"Ferrell, Yogi",3000000,3150000,,,,,1,0,0
"Finney-Smith, Dorian",1544951,,,,,,0,0,0
"Forbes, Bryn",3125000,2875000,,,,,0,0,0
"Fournier, Evan",17000000,17000000,17000000,,,,0,1,0
"Fox, De'Aaron",5470920,6392760,8099627,,,,0,0,2
"Frazier Jr., Melvin",1050000,1416852,1663861,,,,0,0,1
"Frye, Channing",1512601,,,,,,0,0,0
"Fultz, Markelle",8339880,9745200,12288698,,,,0,0,2
"Gallinari, Danilo",21587579,22615559,,,,,0,0,0
"Galloway, Langston",7000000,7333333,,,,,0,0,0
"Gasol, Marc",24119025,25595700,,,,,0,1,0
"Gasol, Pau",16800000,16000000,,,,,1,0,0
"Gay, Rudy",10087200,,,,,,0,0,0
"George, Paul",30560700,33005556,35450412,37895268,,,0,1,0
"Gibson, Taj",14000000,,,,,,0,0,0
"Giles, Harry",2207040,2578800,3976510,,,,0,0,2
"Gilgeous-Alexander, Shai",3375360,3952920,4141320,5495532,,,0,0,2
"Gobert, Rudy",23241573,24758427,26275281,,,,0,0,0
"Gordon, Aaron",21590909,19863636,18136364,16409091,,,0,0,0
"Gordon, Eric",13500375,14057730,,,,,0,0,0
"Gortat, Marcin",13565218,,,,,,0,0,0
"Graham, Devonte'",988464,1416852,1663861,,,,1,0,0
"Graham, Treveon",1512601,1645357,,,,,1,0,0
"Grant, Jerami",8653847,9346153,9346153,,,,0,1,0
"Grant, Jerian",2639314,,,,,,0,0,0
"Green, Danny",10000000,,,,,,0,0,0
"Green, Draymond",17469565,18539130,,,,,0,0,0
"Green, Gerald",1512601,,,,,,0,0,0
"Green, JaMychal",7666667,,,,,,0,0,0
"Griffin, Blake",32088932,34449964,36810996,38957028,,,0,1,0
"Hamilton, Daniel",1349383,,,,,,0,0,0
"Hardaway Jr., Tim",17325000,18150000,18975000,,,,0,1,0
"Harden, James",30421854,38150000,41202000,44254000,47306000,,0,0,0
"Harkless, Maurice",10837079,11511234,,,,,0,0,0
"Harrell, Montrezl",6000000,6000000,,,,,0,0,0
"Harris, Devin",1512601,,,,,,0,0,0
"Harris, Gary",16517857,17839286,19160714,20482143,,,0,0,0
"Harris, Joe",8333333,7666667,,,,,0,0,0
